,caption,image_id
401086,A young woman in an apron is pouring a glass of wine.,557021
143657,A stop sign stands crookedly in front of a line of cars.,124466
143677,A leaning stop sign pole near a host of traffic.,124466
143689,A stop sign tilted over on the corner of the street.,124466
143733,A stop sign on a tilted pole at the corner of the street. ,124466
143793,A traffic jam at the corner with the leaning stop sign.,124466
267362,A boy in the street in front of a house performing a skateboard trick with two skateboards.,556643
267467,A young skateboarded in a blue shirt stumbling.,556643
267543,A skateboarder performing the ollie trick over another skateboard,556643
267637,a person jumping a skate boad in the air over another skate board,556643
267710,A man in the air riding a skateboard doing a trick.,556643
116841,A person is sitting on a cart surrounded by garbage.,202004
116918,A horse pulling a carriage down a street near buildings.,202004
116935,A horse and carriage parked curbside outside a clothing store.,202004
117026, a horse in a street loaded down with a buggy,202004
130893,A horse pulls a man in a wagon down a city street.,202004
371940,A professional tennis match and a black player returning the ball,129568
372071,A man on a court swinging at a tennis ball.,129568
372119,A man is swinging his racket on the tennis court.,129568
376634,A man playing tennis on a blue tennis court with people sitting in the bleachers.,129568
376640,A man standing on a tennis court holding a tennis racquet.,129568
42528,a street light with a layer of snow on a metal pole next to a street.,316676
42869,an image of a traffic light that is covered with snow,316676
42919,A traffic signal at an intersection covered in snow.,316676
42936,The street light is covered in a thin layer of snow,316676
42956,A traffic light covered in snow next to a building.,316676
342018,A green and clear toothbrush having toothpaste applied to it.,121001
342237,A person putting tooth paste on top of a tooth brush.,121001
342255,A hand putting toothpaste on a toothbrush on a counter.,121001
342290,A hand applying toothpaste to a green handled toothbrush.,121001
342397,A person is putting tooth paste onto a tooth brush.,121001
397229,glass table with sandwich desert and coffee drink.,119621
397299,A sandwhich and dessert are shown with a hot coffee.,119621
397309,Two plates of food and a drink with an open magazine.,119621
397323,"The sandwich, pastry, and hot drink are setting on the glass table.",119621
397466,There are two foods and one drink set on the clear table.,119621
331599,an image of woman posing  with cell in her tights,44298
331784,A woman shows off her stockings at a Christmas party.,44298
331834,A girl in thigh high stockings with her hand on her thigh.,44298
332155,A young woman showing off her thigh with a garter,44298
332261,A beautiful young woman in a green dress pulling up her dress to show off her thigh.,44298
69254,Two people pushing a green cart down the middle of a street.,362745
69923,People walking along a city stree pushing a cart.,362745
69959,Guys walking down the street pushing a cart among street signs,362745
70016,Two men pushing a full cart down the  road,362745
70140,Two people pushing a cart down a street with cases of green boxes on the cart.,362745
225600,An adult and two children cross country ski through the snow.,190566
225636,A kid is standing in the snow on skis facing two other people.,190566
225754,Two children wearing gear and skis standing in the snow.,190566
225785,An adult and two small children are cross country skiing.,190566
225834,Children cross country skiing on a snowy path.,190566
392536,A baseball player who is swinging a baseball bat.,494462
392562,The dual images show the professional baseball batter taking a swing. ,494462
392594,Two of the same pictures during a baseball game as the bat is being swung. ,494462
392629,Two of the same images of a man swinging a bat in a baseball game,494462
392654,Two frames at a professional baseball game showing a swing for a pitched ball.,494462
230061,Woman shopping for vegetables in an outside market.,435556
230192,The customers picked tomatoes and vegetables from the vendor. ,435556
230235,A woman standing next to an older man in a farmers market.,435556
230243,A woman and man stand in a market next to vegetables.,435556
230253,A woman holding a package of tomatoes at a farmers market.,435556
348223,A couple of women shaking hands on top of a tennis court.,113857
348289,There are two female tennis players shaking hands.,113857
349740,two females on a tennis court shaking hands at the net,113857
349929,Two adult women shaking hands at center court over net.,113857
350012,Two women with tennis rackets are shaking hands.,113857
195900,An umbrella with a cover near a small pond.,384857
196084,there is a small tent that has a table and two chairs in it,384857
196100,An open front tent with a camping table and chairs set up in it in front of a pond.,384857
196129,A tent is set up near a lake and campers.,384857
196131,A table and some chairs under an umbrella.,384857
171779,A man in sunglasses looking at a menu outdoors.,126204
171856,a man sitting at an outdoors table reading a menu,126204
171970,A man reads a menu on a patio near the ocean.,126204
172151,a business man on a great trip on a boat ordering a meal ,126204
172279,A person is reading a menu while on a ship.,126204
216780,Two horses pulling a plow in tilling the land,14209
216810,An old black and white photo shows horses help plow.,14209
216862,Several men and horses working on a dirt field.,14209
216939,A group of people pulling a ground tiller with horses.,14209
216942,Teams of horses pulling plows along a dirt path.,14209
86843,"Three traffic lights, the lowest of which is painted as a smiley face.",320693
86869,A traffic light on the side of the street.,320693
86938,A traffic light with faces drawn on them.,320693
87031,Stop lights are marked with faces on each light. ,320693
87080,A stoplight with images drawn on each of the lights.,320693
222973,A beautiful young woman holding an orange frisbee.,295257
222985,Several people gathered around in the grass near a building.,295257
223013,people playing frisbee people walking and people eating ,295257
223023,A large crowd of people gathered outside in a field. ,295257
223031,some people grass an orange frisbee and a building,295257
200117,A horse drawn carriage traveling past a crowd next to tall buildings.,269871
200206,cart with people getting pulled by horse down a street,269871
200254,A horse and carriage going down the street,269871
200332,A horse drawn carriage proceeds in a parade.,269871
200589,A horse leads a carriage decorated for Christmas in a parade down the street.,269871
181111,Two men shaking hands among a group of people.,380034
181134,Two men in blazers shaking hands in front of a camera.,380034
181234,A group of people standing around each other in a room.,380034
181282,A man shakes another man's hand while other people mill around.,380034
181401,A man in a suite and tie shaking the hand of another man at an event.,380034
373787,A smiling woman is holding her cell phone.,479272
373884,A lady talking on a cell phone during the day.,479272
373898,A girl talks and smiles on a telephone,479272
373979,A woman standing talking on a cell phone.,479272
374032,A girl standing in the park talking on her cell phone.,479272
228246,a dog running to catch a frisbee in a field,423537
228274,A dog that is trying to catch a Frisbee.,423537
228368,a dog jumps in the air grabs a frisbee in a park,423537
228441,A dog reaches into the air to catch a flying frisbee.,423537
228491,A dog reaching up for a frisbee on a field.,423537
200850,A young man reaching  to catch a frisbee ,52603
200946,A person reaching up to catch a frisbee,52603
202187,Young male catching a frisbee on a green field,52603
202236,Man in a white shirt reaching hout to catch a frisbee. ,52603
202274,A man is playing frisbee in a field.,52603
384463,Catcher reaches out to tag player as he slide over home base during Baseball game,32270
384538,A baseball player sliding into home base. ,32270
384613,The base ball player is sliding in to home base. ,32270
384642,THIS IS A PHOTO OF A BASEBALL GAME IN ACTION,32270
384862,A group of men playing a game of baseball.,32270
321956,Two tennis players extend their arms to shake hands with their opponents.,523007
321974,A couple of tennis players shaking hands with other players.,523007
321990,Two players holding racquets reach across the net to shake hands.,523007
322099,A couple of men standing near a tennis court.,523007
322101,Two people holding tennis racks on one side of a net.,523007
273271,Person biting into a donut with green sprinkles on top.,96793
273461,A woman is making a mean face and taking a bite out of a donut.,96793
273536,A crazy looking woman eating a doughnut with sprinkles.,96793
278372,"Warmly dressed, angry woman eating a decorated donut.",96793
278498,Woman biting down on a green and yellow donut. ,96793
409187,Potato salad and hamburgers are on the table with some condiments,54989
409207,A table filled with plates and condiments to be eaten,54989
409265,The table is filled  up with food from the grill,54989
409293,Picnic food is spread out on a table on top of a colorful cloth.,54989
409448,"A table that has meat, buns, and vegetables on it.",54989
26238,Chef preparing decadent dish at a classy restaurant.,300542
26308,a man pouring some sauce on some plates of food ,300542
26325,A group of chef preparing sandwiches in the kitchen,300542
26369,A man preparing plates of food in a kitchen.,300542
26475,A chef in a kitchen pours gravy on one of several plates of food.,300542
118971,A train is being boarded by passengers by a platform.,42819
119003,A bunch of people getting on and off a subway train at the platform. ,42819
119079,A train at a station and people are getting on and off. ,42819
119117, train traveling into a train station filled with lots of people.,42819
119120,Numerous people are boarding a large commuter train.,42819
35558,The street is lined up and down with motorcycles.,266114
35622,A person that is riding a motorcycle in the street.,266114
35652,Motorcycles are lined up on the sides of a street.,266114
35772,"Motorcycles driving down a road, with more motorcycles lined up along it.",266114
35859,Bikers in the street with a row of motorcycles and onlookers to the side.,266114
393823,A man pushing a refrigerator in a house under construction.,39434
393909,A man moving a refrigerator into an unfinished house.,39434
394006,Man moving a refrigerator in an unfinished building,39434
394042,A handyman moving a refrigerator back into its place.,39434
394067,A gentleman is moving a refrigerator in a room that is being finished.,39434
106280,A yellow and blue train pulling into a train station.,406188
106808,People are walking next to the passenger trains.,406188
106907,"a yellow train pulling into station, people standing around",406188
106959,Two passenger trains at a platform in a station.,406188
107203,a couple of trains parked at a train station.,406188
305267,Some tennis players shaking hands at the net.,8571
305302,Women playing partners in tennis shake each others hands on the tennis court.,8571
305439,Tennis players shake each others' hands before a game. ,8571
305462,The people are shaking hands over the net.,8571
305630,Tennis players of opposing teams shake hands at the net on the court.,8571
55440,a group of children standing outdoors and wearing badges,186035
55569,A group of young men standing next to a white toilet.,186035
55585,A group of young men stand smiling in front of a toilet with a contraption on the tank,186035
55631,Boys smiling at the camera next to a toilet ,186035
55726,a group of kids near a toilet ,186035
246338,A group of people standing next to each other on a snow covered slope.,501271
246506,There is a family out on the ski slopes.,501271
246508,Family photo of skiers on alpine snow covered slope.,501271
246569,A group of people that are standing in the snow.,501271
246599,A group photo of a family of five all wearing ski gear in the snow. ,501271
212659,A rear view mirror showing a small white dog with its head out the window.,447823
212694,A dog has its head out of the window in the mirrors reflextion,447823
212718,Side review mirror shows dog hanging it's head out the window,447823
212841,Side mirror on a moving car reflecting dog with head out back window.,447823
212854,While looking in the rear view mirror this person saw their dog with his head out the window.,447823
362975,A man with a shaved head lights a cigarette.,540790
363212,A man in a blue jacket lighting a cigarette.,540790
363284,A man in a hooded jacket is lighting a cigarette.,540790
363371,A man lighting a cigarette and using his phone,540790
363469,A man wearing glasses talking on a cellphone.,540790
166002,An old brown valise with leather straps containing a shoe and other items.,531782
166032,A small suitcase containing a shoe and an unidentified item is being opened.,531782
166304,A suitcase opened with a shoe inside of it.,531782
166321,An old yellow suitcase with straps is open as it holds a shoe with its sole up and some other unidentifiable object.,531782
166341,An old suitcase with a shoe and other articles inside.,531782
218573,A baseball player pitching a baseball on top of a field.,236571
218646,A baseball pitcher about to throw the ball from the mound,236571
218716,A baseball player pitching the ball during a game. ,236571
219209,A man on a field with a glove and a hat.,236571
219258,A pitcher on the mound winds up for a pitch,236571
407610,The man is getting some beer in his cup,106504
407693,The man is mixing something with a hand blender. ,106504
407750,A man standing at a counter using a tool in his hand.,106504
407757,A man is dispensing cream from a hand mixer into a glass. ,106504
407767,A man mixing something inside of a container.,106504
298726,"A group of people, including four adults and two children, at a pizza parlor.",545891
298946,A group of people gathered around a table eating ,545891
298951,Many people are gathered around a table eating in a restaurant. ,545891
299626,A group of friends sitting at a table covered in food.,545891
299824,Many people are eating at a table together,545891
235186,A woman  sitting down next to a dog on a leash.,410005
237001,A woman sitting on the edge of a fountain while her dog looks at a skateboarder through a railing,410005
237038,a person riding a skate board at a skate park,410005
237688,a dog tied to a fence looking at a skateboarder ,410005
238034,A girl sitting on wall with dog tied to a pole at a skate park.,410005
367478,Four tennis player on a blue hard surface court with two player lunging for the ball at the same time.,350170
367516,Two tennis players reach out with their racquets as the ball approaches.,350170
367546,Two partners in tennis stretch for the ball.,350170
367563,Two guys reach with their rackets to hit the same ball. ,350170
367581,Both men lunge for the ball during a doubles tennis match,350170
36268,A small television on a large bare wall,378872
36428,A mounted televising next to a mounted wall mirror.,378872
36478,A flat screen television mounted on a wall.,378872
37053,Small mounted television sitting inside a bedroom with orange walls. ,378872
37100,A flat screen tv mounted to a wall next to a doorway.,378872
160187,a person walking with a cow near other people ,452782
160192,A man leads a cow into a market.,452782
160199,The cow is standing still as a man holds her lead.,452782
160233,A cow being lead around on a showroom floor.,452782
160316,A man is holding a cow on a leash,452782
77902,A green and white fire hydrant on sidewalk next to people.,338987
77986,a green and white fire hydrant sitting on the sidewalk ,338987
78121,Light green and white painted fire hydrant with people walking in background.,338987
78137,The fire hydrant on the side of the road is painted green and white. ,338987
78200,a fire hydrogen that is built on top of a concrete pad.,338987
158820,A small red boat floating on a body of water.,382706
158958,a small red boat that has a big elephant by it,382706
158977,A man floats down the water in a small boat ,382706
159126,A person rides in a small boat near an elephant statue.,382706
159333,a fake elephant is standing near a boat,382706
323968,a group of women gathered together side by side in front of a table with pastries on it,200138
327574,A group of women smile as they stand in front of plates of brownies. ,200138
327610,Six women standing in front of cupcakes and pastries.,200138
327611,The women stand next to the table that is covered in food.,200138
327614,A group of women are gathered by a long table of food.,200138
405806,A woman pouring a man a glass of wine.,438071
406945,A woman in an apron pours a glass or wine for a man across a counter.,438071
407035,Man stands at the counter as the woman pours him a glass of wine.,438071
407097,A man at a counter with a lady pouring wine.,438071
407125,A couple of people at a counter in a room.,438071
140002,A man walking down a  street in front of a cow.,80336
141187,A cow is covered with a blanket and mask and being lead through town.,80336
141229,A covered horse following a man on a street. ,80336
141322,A man is leading dressed up livestock across the street.,80336
141628,a man leading a cow with a blanket on it down the road ,80336
377017,A man sitting next to a woman at a table with a smart phone.,129551
377169,A young boy showing an elderly woman something on a cellphone. ,129551
377208,A young man in a yellow shirt holds out a white cell phone as an elderly lady in a white shirt looks at it.,129551
377295,a person showing a cell phone to an older person,129551
377316,A man showing an older woman a cell phone.,129551
276727,a person making a sandwich with butter and cucumbers,111705
276737,A hand pointing to a piece of bread with cucumbers on it.,111705
276758,A person pointing down at a slice of bread with pickles on it.,111705
276849,a person pointing to what they are putting on their snadwich.,111705
276934,A person is holding a piece of bread with butter and cucumbers.,111705
285775,a hotdog is wrapped up in some foil ,296159
285858,A hot dog with onions on a table ,296159
285926,a hot dog in foil covered in onions and relish,296159
286076,A hot dog covered in onions and relish wrapped in foil.,296159
286117,A hot dog with relish and onions in a foil wrapper.,296159
198060,A dog is resting its head on a man's jeans.,401836
198165,Dog laying its head on the lap of a man. ,401836
198296,A dog is resting its head on its owners lap,401836
198471,Man's best friend shares his human's lap with the TV remote.,401836
198862,The dog is resting his head on the man's lap.,401836
189063,A group of people standing around an airport.,548010
189137,the people were all lined up at the airport with their luggage.,548010
189316,A crowd of travelers at an airport departure gate.,548010
189396,People are waiting in line at the airport.,548010
189457,People lining up at a check-in counter at the airport,548010
216224,A man catching a frisbee in a field. ,246656
216269,a man lunging out for a freesby on a beach,246656
216301,A young man on a beach catching a round disc.,246656
217680,a man holding a plate playing near an ocean,246656
217741,A man catching a frisbee on the beach.,246656
69063,A motion blur of a bus driving by on the street.,478152
69095,A passenger bus zooms by the sidewalk. ,478152
69212,A  reflection in a moving bus on a city street.,478152
69404,The moving bus reflects the image of the store windows on the street.,478152
69573,A bus driving down a street past a parking meter on a sidewalk.,478152
60943,A flat TV screen sitting on top of a book shelf.,442785
61031,a wall mounted television in a living room ,442785
61054,a big television sits on top of an entertainment center ,442785
61085,A flat screen television is mounted by the stairs.,442785
61086,An entertainment center is pictured with a television turned on.,442785
387181,A baseball player in uniform prepares his bat.,230393
387227,A baseball player in uniform is leaning over his bat wearing a red batting helmet.,230393
387367,A baseball player holding a bat near a set of steps.,230393
387425,A baseball athlete leaning on his bat in front of a set of steps.,230393
387555,A baseball player getting a bat ready on the stairs.,230393
315059,The man stands on rocks near the ocean with a bodyboard.,252443
315097,A wake boarder pointing at a wave breaking on the shore.,252443
315169,Guy standing on the cliff pointing out to the waves,252443
315227,A man in a wet suit carrying a boogie board points at the water from a rocky hill.,252443
315270,a man with a boogie board pointing towards the water ,252443
220091,A dog is sniffing the treat on the ground in the grass,203511
220102,A dog sniffing a cake on the ground in a park,203511
220232,A brown dog on a leash smelling food that is on the ground.,203511
220316,A group of dogs that are in the grass.,203511
220374,A dog is investigating trash on the ground in a park.,203511
85879,Two ladies walk past a bus parked on a roadside ,114024
86349,Two ladies that are crossing the street after a ride on a bus.,114024
86538,Five people just got off that gray bus.,114024
86685,A couple of women walking across a street next to a bus.,114024
86773,a group of people are crossing a road ,114024
288639,A man sliding down a tree trunk on a snowboard.,160001
288761,A man riding a snowboard up a tree.,160001
288779,A snow boarder is high on a tree that is pointed sideways.,160001
288825,A man tries to keep his balance as he climbs on a tree.,160001
288865,A person climbing a tree with the sunset in the back.,160001
362192,A man standing in the rain talking on a phone.,40423
362257,Man holds cellphone up to his ear while women hold umbrellas behind him. ,40423
362405,A man talking on a cell phone in a backyard.,40423
362455,A man talking on a cell phone next to a woman with an umbrella.,40423
362492,A man is standing on the lawn talking on his cell phone with others holding umbrellas.,40423
298595,A woman taking a swing at a tennis ball,503155
298604,a woman running toward a tennis ball to hit it,503155
298720,A woman gets ready to hit a tennis ball.,503155
299129,A woman running to hit a tennis ball with her racket.,503155
299156,A beautiful young woman swinging a tennis racquet at a tennis ball,503155
306034,A toddler reading a book to a baby.,274108
306043,A boy reads his little brother a book in bed ,274108
306121,a small boy reading a book to a little baby,274108
306208,Young boy in the bed reading a book to his little sibling.,274108
306262,A child sitting down with a baby holding open a book.,274108
180667,Lots of people are in a long boat paddling down a river.,501493
180712,A team of rowers are competing on a boat.,501493
180748,a group of people on a paddle boat in the water ,501493
180814,A long boat is filled with people wearing life jackets holding paddles.,501493
180832,A Dragon Boat crew in orange tee shirts paddle for all they are worth.,501493
202018,This black and white photo shows many people in the street,488432
202206,An old fashioned scene shows people in the street. ,488432
202248,"Old time city life with cars, horse drawn carriages and long dresses.",488432
202263,A lot of people that are standing around a town.,488432
202283,"An old town street with people walking around, horse drawn carriages, and early cars.",488432
19750,a child at a table preparing food ,135796
19817,A little girl mixing stuff in a pot with a mixer. ,135796
19860,A little girl in a pink velvet shirt mixes batter with an eggbeater. ,135796
20085,A very cute small girl mixing some food in a bowl.,135796
20091,A child mixing food in a bowl on a table. ,135796
287828,A snowboarder has fallen down and is laying in the snow.,218319
287848,A person on a snowboard has fallen down on the snow,218319
287883,a person that has fallen with his snowboard,218319
287913,A snow boarder laying in the snow after a run,218319
287926,A person lying in the snow after falling down on a snowboard.,218319
202843,A couple of horse drawn wagons racing down a track.,549597
203017,Three horses are racing on a track with wheel attached to them.,549597
203066,Horses are harness racing around a horse track.,549597
203237,Trotter horses racing along the track in a race,549597
203594,Horses drawing carts on a dirt track in a race.,549597
267092,A woman in a wedding gown pointing at doughnuts,436544
267652,A happy woman in a white dress points at donuts in a display case. ,436544
267900,A beautiful woman in a white dress pointing at pastries.,436544
268536,An elegantly dressed woman looks lustfully at baked goods,436544
268547,Woman in wedding dress pointing at donuts display. ,436544
156258,A man standing behind a truck with logs near a forest.,163273
156293,Two men are moving logs with a red truck,163273
156413,A bunch of lumberjacks moving logs in the woods.,163273
156417,a man is working putting logs on trucks,163273
156478,A man standing next to a truck with logs on it.,163273
318499,A tennis player bounces a tennis ball during a match.,185634
318564,a tennis player with a racket and a ball,185634
318667,A tennis player bounces a tennis ball on his racket.,185634
318870,a man is holding a tennis racket outside,185634
318973, A man playing tennis is hitting the ball with the racket.,185634
152821,A group of people paddling boats on top of a body of water.,255317
153005,A market with lots of people next to a river  with people in rowboats. ,255317
153021,People paddle canoes past a crowded waterside market.,255317
153024,A group of people in boats on a river.,255317
153103,Two people in a boat paddling in a river.,255317
32103,A man asleep against his luggage on top of bench.,426318
32119,A man resting on a park bench with his foot up.,426318
32205,An old man is sitting on a bench.,426318
32206,"A man with a coat and hood on, sitting on a park bench and leaning on a bag.",426318
32234,A man sitting on a bench while leaning on his bag and one foot rested on a cement block. ,426318
162106,A huge crowd of people gathered around small tents and livestock. ,63043
162266,A very large festival in a rural country with man leading cattle,63043
162319,A crowd of people standing around a herd of cows.,63043
162451,A man pulling two cows by ropes with a lot of people gathered together.,63043
162632,Refugees and animals standing around a campground near a city. ,63043
293427,A man wearing knee pads is riding a skateboard.,262238
293459,The person wearing knee pads is balancing on a skateboard. ,262238
293500,A person is performing a trick on a skateboard.,262238
293515,Close-up view of skateboarders lower body performing a trick on a high wall.,262238
293536,A youth ridding a skateboard at the top of a ledge.,262238
95158,The giraffe is looking for a tasty snack from the crowd.,416386
95209,A giraffe's head leaning over a metal fence.,416386
95301,A giraffe stretching it's neck over the fence.,416386
95358,A giraffe leaning over a fence at a zoo.,416386
95462,A giraffe holding his neck over a small black fence.,416386
27996,A bathroom sink with towels hanging below it.,415201
28152,The bathroom sink has three towels on the rack below it. ,415201
28336,Several hand towels are hanging from bars installed under a bathroom sink. ,415201
28340,some stuff is on a shelf next to a sink,415201
28366,a bathroom with a big mirror and some towels by a sink ,415201
132042,Many crossing street on bike and convey of RV's driving.,190885
132074,a man on a bike near a busy street,190885
132100,A man on a bike waiting at a crosswalk.,190885
132158,A man on a bicycle crossing the street.,190885
132231,Rvs traveling down a busy city intersection during the day. ,190885
215617,a horse pulling a carraige down the road ,420529
215678,The one horse is pulling the carriage by himself. ,420529
215756,A mini stagecoach being pulled by one horse and driven by one driver.,420529
215763,A man riding a horse drawn carriage down a road.,420529
215920,A man riding a horse and carriage down a road ,420529
157273,Man paddling small boat on river in native land.,70403
157423,A man is using a pole to move his boat through the water.,70403
157436,A man is paddling his own boat with its unique cover. ,70403
157562,A man is poling a covered boat down a  river.,70403
157621,A man sits on the edge of a rowboat with an oar.,70403
253782,Black and white photo of a man helping a child ride a bike while another person skate boards nearby.,211863
253821,A young person on a skateboard passes pedestrians and a child on a bike on a street corner. ,211863
253919,A boy on a skateboard along the curb passing a man and woman with a girl on a bike ,211863
253950,A person on a skatebaord passing three other people on the sidewalk.,211863
254061,A group of people riding a bike and walking down a street.,211863
389338,A monk looking at a smart phone device.,493388
389515,A man is checking a mobile device outside of an old building.,493388
389527,A monk is looking at a mobile phone among ancient architecture.,493388
389540,Buddhist monk looking at electronic device while in temple.,493388
389729,a male in an orange robe with a cellphone,493388
191157,there is a man that is putting on his tie,554630
191380,A man with glasses tying his tie in a living area.,554630
191392,A man in glasses tying a plaid tie.,554630
191441,A man in glasses is tying his tie around his neck.,554630
191460,a man is tying a tie in a room,554630
305317,A person reaching up to grab a soccer ball.,398609
305576,A person reaching for a soccer ball in front of a net.,398609
305603,A person reaches to block a soccer ball from the goal.,398609
305647,A soccer goalie unsuccessfully jumping for the ball,398609
305670,A person raising their hands to block a ball.,398609
44534,A crowd of people watching an airplane take off.,564491
44817,spectators behind a fence watching planes land and takeoff ,564491
44985,A crowd of people standing alongside an airport runway.,564491
45157,People are watching airplanes from behind a fence.,564491
45272,a number of people behind a fence looking at an old plane,564491
218769,Three mounted policeman walking down street on horseback,517579
219098,Three mounted police riding their horses down a city street.,517579
219115,Three officers ride horses down a city street.,517579
219158,Three policemen on horses on a city street.,517579
219202,There are three police officers riding on horses.,517579
222237,Two small dogs are lying on the side walk,535432
222253,A dog laying on a sidewalk near a fence with a horse in the foreground.,535432
222285,Two dogs lie on the sidewalk as a horse passes by.,535432
222316,Two dogs are lying on the pavement as the white horse passes by.,535432
222495,Two dogs sleeping on the public sidewalk as a horse passes by. ,535432
34743,A bottle of beer is sitting on a motorcycle.,45222
34757,Motorcycles parked on a street with a bottle sitting on the seat of the nearest the camera.,45222
34808,A beer resting on the seat of a motorcycle.,45222
34887,A bikes and motorcycles are moving down a city street.,45222
35073,A beer bottle is resting on the seat of a bike.,45222
89014,A bus turning a corner at an intersection near a motorcycle. ,167996
89126,A city bus turns into a side street in the rain.,167996
89151,A blue bus driving down a street next to tall buildings.,167996
89167,A transit bus making a left turn onto a street.,167996
89195,a blue bus is on a wet road,167996
193858,Three people pull luggage up the sidewalk in the rain ,295448
193862,Three people walk on the sidewalk with rolling luggage bags. ,295448
193892,Three people pulling luggage down a wet sidewalk.,295448
193920,Three people pulling suitcases behind them on a wet pavement,295448
193962,Three people walking with suitcases in hiyas city street.,295448
390506,A man is preparing to hit the tennis ball.,377760
